filename,notes,authors,licenses,urls
"hair/spiked2/adult/walk.png","","Fabzy, bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/the-revolution-hair, https://opengameart.org/content/lpc-hair"
"arms/bracers/male/walk.png","original by wulax, adjustments by Makrohn, climb/emote/jump/sit/run by JaidynReiman","Matthew Krohn (makrohn), Johannes Sjölund (wulax), JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"shoulders/epaulets/male/walk.png","Original by bluecarrot16, jump/run/sit/emote/revised combat frames and female by JaidynReiman","bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates"
"arms/armour/plate/male/walk.png","original by wulax, recolors by bigbeargames; adapted to v3 bases and further recolors by bluecarrot16, climb/emote/jump by JaidynReiman","Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, http://opengameart.org/content/lpc-clothing-updates"
"shoulders/bauldron/male/walk.png","Original by Nila122, climb/jump/sit/emote/run by JaidynReiman","Nila122, JaidynReiman","GPL 2.0, GPL 3.0, OGA-BY 3.0, CC-BY-SA 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
"arms/hands/gloves/male/walk.png","metal gloves by wulax, recolors by bigbeargames, adapted to v3 bases by bluecarrot16, added to expanded animations by JaidynReiman","Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, http://opengameart.org/content/lpc-clothing-updates"
"torso/armour/plate/male/walk.png","original by wulax, recolor by bigbeargames, color reduced to 7 colors and adapted to v3 bases by bluecarrot16, run/jump/sit/climb/revised combat by JaidynReiman, reduced colors to 6 (based on Napsio's Vitruvian)","Napsio (Vitruvian Studio), JaidynReiman, bluecarrot16, Michael Whitlock (bigbeargames), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-combat-armor-for-women"
"torso/waist/belt_double/male/walk/tan.png","","bluecarrot16, Johannes Sjölund (wulax), Matthew Krohn (makrohn)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-combat-armor-for-women, https://opengameart.org/content/lpc-pirates"
"legs/armour/plate/male/walk.png","reduced to 7 colors an adapted to v3 bases by bluecarrot16, climb/jump/sit/emote/run by JaidynReiman","bluecarrot16, JaidynReiman, Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"feet/armour/plate/male/walk.png","original by wulax, recolors by bigbeargames, edits for v3 base and recolors by bluecarrot16","Matthew Krohn (makrohn), Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
